idORIG,idYIEFD
56491,1
56520,1
56595,1
56597,1
56601,1
56602,1
56633,1
56668,1
13016529,1
13016548,1
13016564,1
13016718,1
13016737,1
51819,51716
56520,51716
12698141,51716
12763527,51716
12833937,51716
12893937,51716
12944882,51716
12873397,12712836
13016564,12712836
52741,52614
56668,52741
12763527,51716
52741,52614
56491,52614
56520,51716
56520,1
56668,56520
13016718,1
13016718,12712946
12698188,51767
52693,52687
56595,52687
12698256,51767
12893397,12712807
12833937,51716
56595,52687
56595,1
56602,56595
12698453,51767
52693,52687
56602,52693
56597,51767
56597,1
56602,56597
13016529,1
13016529,12712807
56601,51769
56601,1
56602,52693
56602,51771
56602,1
56602,56597
56602,56595
56668,52741
56668,51819
56668,1
56668,56520
56668,56491
12698141,51716
13016548,1
13016548,12712823
12893397,12712807
13016529,12712807
13016737,12712807
13016737,1
13016737,12712807
56491,52614
56491,1
56668,56491
51819,51716
56668,51819
12873397,12712836
13016564,1
13016564,12712836
12697778,51767
12833397,12712946
13016718,12712946
12893937,51716
12943935,12712823
13016548,12712823
56633,52662
12833397,12712946
51771,51767
56597,51767
12697778,51767
12697846,51767
12698188,51767
12698256,51767
12698453,51767
12698556,51767
12697846,51767
12944882,51716
56633,52662
56633,1
56601,51769
12943935,12712823
51771,51767
56602,51771
12698556,51767
