idORIG,idYIEFD
12712451,12712445
12733013,12712451
12746999,12712451
12732689,13942198
12733008,13942198
12746760,13942198
12746994,13352685
12762373,13352685
12943148,13352685
12712679,12712367
12747261,12712679
12746999,12762373
12762373,13352685
12943153,12762373
12943148,13352685
12943153,12943148
12746760,13942198
12747261,12746760
13015884,12712367
12733006,12712445
12733013,12733006
12712373,12712367
12712679,12712367
12943146,12712367
13015884,12712367
13016296,12712367
13016296,12712367
12747261,12943146
12943146,12712367
12943153,12943146
12746994,13352685
12746999,12746994
12746992,12712445
12746999,12746992
12733008,13942198
12733013,12733008
12747261,12733008
12732689,13942198
12733013,12732689
12943153,12712373
12943153,12762373
12943153,12943148
12943153,12943146
12712373,12712367
12943153,12712373
12746999,12712451
12746999,12762373
12746999,12746994
12746999,12746992
12733013,12712451
12733013,12732689
12733013,12733008
12733013,12733006
12712451,12712445
12733006,12712445
12746992,12712445
12747261,12733008
12747261,12943146
12747261,12712679
12747261,12746760
