idORIG,idYIEFD
13256010,54590
13256010,13256003
13256010,13256001
54785,54590
54785,54494
54785,54781
54785,54780
13256806,12720832
12770788,54586
12770885,54491
13256010,13256003
13256001,54586
13256010,13256001
13256806,12720832
13256806,12770832
13256806,54781
12770574,54491
13225829,54586
13256058,54586
12770832,54491
13256806,12770832
12770517,54491
54590,54586
54780,54586
12770788,54586
13215829,54586
13225829,54586
13256001,54586
13256058,54586
54494,54491
54781,54491
12770517,54491
12770574,54491
12770832,54491
12770885,54491
13225494,54491
54780,54586
54785,54780
13215829,54586
54781,54491
54785,54781
13256806,54781
54494,54491
54785,54494
54590,54586
54785,54590
13256010,54590
13225494,54491
