idORIG,idYIEFD
12766004,15364171
12817947,15364171
12949054,15364171
12949127,12716262
12949127,12766262
12949127,12757947
12949127,12817945
12757952,12716082
12757952,12757548
12757952,12757947
12757952,12757945
12817952,12716004
12817952,12766004
12817952,12817947
12817952,12817945
12716262,12715998
12949127,12716262
12716004,12715998
12817952,12716004
12949059,12716082
12949059,12766004
12949059,12949054
12949059,12949052
12757548,15752742
12757952,12757548
12716082,12716076
12757945,12716076
12949052,12716076
12716082,12716076
12757952,12716082
12949059,12716082
12766262,15752742
12949127,12766262
12757548,15752742
12757947,15752742
12766262,15752742
12766004,15364171
12817952,12766004
12949059,12766004
12817947,15364171
12817952,12817947
12757947,15752742
12757952,12757947
12949127,12757947
12949052,12716076
12949059,12949052
12817945,12715998
12817952,12817945
12949127,12817945
12757945,12716076
12757952,12757945
12949054,15364171
12949059,12949054
12716004,12715998
12716262,12715998
12817945,12715998
