idORIG,idYIEFD
13139529,52798
13139529,13139525
13139734,13984595
13304755,15858295
13014677,13014671
13139529,13139525
13139480,52798
13139480,15364383
56171,52817
56240,52817
13014677,52817
13089529,52817
13089947,52817
13304755,52817
56338,51928
56338,56165
56345,56338
13089947,13089941
13014677,52817
13014677,13014671
56340,51930
56340,56098
56345,56340
56342,51928
56342,56100
56338,51928
56342,51928
56345,56171
56345,56102
56345,56340
56345,56338
56340,51930
13089947,52817
13089947,13089941
13139734,52798
13139734,13984595
56102,56098
56340,56098
13139947,52798
13139947,13139943
56342,56100
56171,56165
56338,56165
56102,52798
56102,56098
56345,56102
56171,52817
56171,56165
56345,56171
56240,56236
13139947,13139943
56240,52817
56240,56236
13089529,13089523
13139480,15364383
13304755,52817
13304755,15858295
56102,52798
13139480,52798
13139529,52798
13139734,52798
13139947,52798
13089529,52817
13089529,13089523
