idORIG,idYIEFD
13256202,45
13215880,54531
13017476,45
13215883,54532
54535,54531
54946,54531
12770591,54531
13215538,54531
13215880,54531
13215948,54531
13216248,54531
54537,54532
54947,54532
12770595,54532
13215541,54532
13215883,54532
13215951,54532
13216251,54532
13215948,54531
13215951,54532
54535,54531
54951,54535
13256195,45
54537,54532
54954,54537
13256199,45
13256196,45
13301016,54625
13301016,45
13301017,54626
13301017,45
12770901,54683
12770901,45
54686,54683
12770901,54683
13215972,54683
13225972,54683
12770591,54531
54686,54683
54944,54625
54951,54944
54631,54625
54944,54625
13216161,54625
13226161,54625
13301016,54625
12770595,54532
12770595,45
54945,54626
54954,54945
54946,54531
54951,54946
54633,54626
54945,54626
13216162,54626
13226162,54626
13301017,54626
54947,54532
54954,54947
54951,54631
54951,54535
54951,54946
54951,54944
54631,54625
54951,54631
13216161,54625
54633,54626
54954,54633
54954,54633
54954,54537
54954,54947
54954,54945
13216162,54626
12770595,45
12770901,45
13017476,45
13256195,45
13256196,45
13256199,45
13256202,45
13301016,45
13301017,45
13215972,54683
13216248,54531
13216251,54532
13226161,54625
13215538,54531
13226162,54626
13215541,54532
13225972,54683
