idORIG,idYIEFD
12794823,12794497
13153122,12794497
12794823,12794497
13288946,12794823
12943091,12712324
13015807,12712324
12778314,12765260
13252869,12778314
12794633,12712271
13252869,12794633
13153122,19
13153122,12794497
13288946,13153122
13213122,19
13213122,12778130
13288946,13213122
12778542,12778130
13288946,12778542
12768623,19
12768623,12765260
13252869,12768623
12718623,12712271
12794633,12712271
12768623,12765260
12778314,12765260
13252869,12718623
13252869,12768623
13252869,12778314
13252869,12794633
12778542,12778130
13213122,12778130
12718623,19
12768623,19
13015807,19
13153122,19
13213122,19
13223122,19
13223122,12778356
12943091,12712324
13288946,13153122
13288946,13213122
13288946,12778542
13288946,12794823
13015807,19
13015807,12712324
13223122,19
13223122,12778356
12718623,19
12718623,12712271
13252869,12718623
