idORIG,idYIEFD
121633,7
121633,121531
122765,122759
123031,122759
117869,117767
126454,117767
117869,7
120495,7
121633,7
123031,7
123033,7
123035,7
123038,7
122669,122665
123033,122665
123035,122667
120495,120362
126412,120362
122765,122759
123038,122765
122669,122665
123038,122669
117869,7
117869,117767
126622,117869
126412,120362
126622,126412
120495,7
120495,120362
126622,120495
123031,7
123031,122759
123038,123031
126454,117767
126622,126454
123033,7
123033,122665
123038,123033
121633,121531
123035,7
123035,122667
123038,7
123038,122765
123038,122669
123038,123033
123038,123031
126622,120495
126622,117869
126622,126454
126622,126412
