idORIG,idYIEFD
12787031,13063044
12787078,13373138
12787078,116
12787025,13063041
12962421,13063041
56327,116
56327,56156
56334,56327
56329,116
56329,56089
56334,56329
56331,116
56331,56091
12787022,12822412
12787022,116
12787032,12787022
56334,116
56334,56162
56334,56093
56334,56329
56334,56327
12787022,12822412
12822421,12822412
12787025,13063041
12787025,116
12787032,12787025
12713429,116
12713429,12713060
12787119,12713429
12787031,13063044
12787031,116
12787119,12944147
12944147,12713060
12787032,12822421
12822421,12822412
56093,56089
56329,56089
56331,56091
12787032,12822421
12787032,12962421
12787032,116
12787032,12787025
12787032,12787022
56162,56156
56327,56156
56093,56089
56334,56093
12787078,13373138
56162,56156
56334,56162
12713429,12713060
12944147,12713060
12763429,116
12763429,13942889
12787119,12763429
12787119,12822505
12822505,13942889
12787119,12822505
12787119,12944147
12787119,116
12787119,12713429
12787119,12763429
12787032,12962421
12962421,13063041
56327,116
56329,116
56331,116
56334,116
12713429,116
12763429,116
12787022,116
12787025,116
12787031,116
12787032,116
12787078,116
12787119,116
12763429,13942889
12822505,13942889
