idORIG,idYIEFD
13014403,663
13014403,13014399
13304526,663
13304526,15858067
13304387,663
13304387,15467412
13305030,52617
56010,55923
56015,56010
56011,55900
56015,56011
55951,55948
13305030,52617
13305030,55900
56015,55927
56015,55903
56015,56011
56015,56010
55951,663
55951,55948
55903,663
55927,663
55951,663
13014387,663
13014403,663
13014526,663
13304374,663
13304387,663
13304432,663
13304526,663
55903,55900
56011,55900
13305030,55900
13304432,14509827
55903,663
55903,55900
56015,55903
13304526,15858067
13014387,13014383
55927,55923
56010,55923
13304374,14503849
13014387,663
13014387,13014383
55927,663
55927,55923
56015,55927
13014526,663
13014526,13014522
13304387,15467412
13014403,13014399
13304432,663
13304432,14509827
13014526,13014522
13304374,663
13304374,14503849
